epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7559,2.29615,4.6049,1.4371,0.00483,0.04597,0.00274,0.00074,2.23315,inf,1.18949,0.0757,0.0027,0.0027
2,23.4031,1.9172,3.49696,1.17278,0.02474,0.31454,0.04974,0.02218,1.92379,inf,1.10275,0.0504637,0.0054637,0.0054637
3,30.1588,1.97159,2.60475,1.21489,0.04324,0.46614,0.08338,0.03682,1.93646,2.93779,1.17683,0.0251904,0.00819044,0.00819044
4,37.088,1.91121,2.35061,1.1968,0.05009,0.59527,0.09566,0.04076,1.96829,2.71805,1.24547,0.009802,0.009802,0.009802
5,44.3773,1.86122,2.16366,1.17455,0.15744,0.33785,0.12058,0.04747,2.03983,3.0041,1.26663,0.009736,0.009736,0.009736
6,52.4163,1.8126,2.01328,1.16149,0.18558,0.23836,0.12386,0.05765,1.95272,inf,1.21833,0.00967,0.00967,0.00967
7,59.5577,1.78477,1.8859,1.154,0.22107,0.33233,0.18233,0.08177,1.85188,2.88115,1.18029,0.009604,0.009604,0.009604
8,66.3114,1.72946,1.81243,1.14058,0.20821,0.34876,0.17458,0.07687,1.96618,2.46761,1.21925,0.009538,0.009538,0.009538
9,73.2365,1.73892,1.78055,1.13963,0.27974,0.27736,0.227,0.10361,1.9728,2.26112,1.16848,0.009472,0.009472,0.009472
10,79.9931,1.69917,1.70816,1.1223,0.33296,0.38935,0.32889,0.157,1.78243,1.80043,1.11315,0.009406,0.009406,0.009406
11,86.9441,1.70986,1.64484,1.12998,0.24678,0.27931,0.21319,0.09135,2.11706,2.54459,1.21743,0.00934,0.00934,0.00934
12,93.7342,1.68688,1.59304,1.12675,0.36813,0.39669,0.34403,0.1677,1.76402,2.27742,1.10271,0.009274,0.009274,0.009274
13,100.508,1.6623,1.57396,1.11207,0.35241,0.34158,0.30127,0.12492,1.99542,1.91104,1.18619,0.009208,0.009208,0.009208
14,107.306,1.64066,1.53338,1.0944,0.36717,0.40077,0.34577,0.16239,1.79179,1.82037,1.10878,0.009142,0.009142,0.009142
15,114.14,1.64507,1.51939,1.1144,0.4141,0.33289,0.31799,0.15068,1.84593,1.9478,1.12102,0.009076,0.009076,0.009076
16,121.065,1.64842,1.50377,1.09415,0.41879,0.41284,0.39311,0.20284,1.65301,1.74756,1.07367,0.00901,0.00901,0.00901
17,127.833,1.62157,1.47246,1.09271,0.38134,0.38628,0.33296,0.16536,1.7507,1.79836,1.09356,0.008944,0.008944,0.008944
18,134.62,1.61673,1.4383,1.08469,0.37807,0.45725,0.3831,0.19077,1.67582,1.81001,1.07753,0.008878,0.008878,0.008878
19,141.425,1.60441,1.42699,1.09822,0.40069,0.45744,0.40124,0.2112,1.64092,1.85496,1.06408,0.008812,0.008812,0.008812
20,148.189,1.60706,1.43932,1.09156,0.40246,0.43191,0.39928,0.18982,1.83288,1.89632,1.11115,0.008746,0.008746,0.008746
21,155.006,1.57975,1.37071,1.07961,0.39945,0.42432,0.37707,0.1783,1.73852,1.73053,1.07729,0.00868,0.00868,0.00868
22,161.806,1.57097,1.34206,1.07279,0.50334,0.45475,0.46282,0.24271,1.63575,1.52965,1.04987,0.008614,0.008614,0.008614
23,168.62,1.57335,1.33084,1.0857,0.51677,0.48322,0.4976,0.26947,1.56292,1.44562,1.0406,0.008548,0.008548,0.008548
24,175.414,1.56242,1.32072,1.07047,0.53959,0.50278,0.52406,0.28872,1.57594,1.41084,1.03926,0.008482,0.008482,0.008482
25,182.166,1.55227,1.281,1.06867,0.50396,0.51521,0.50956,0.26107,1.62012,1.43829,1.06053,0.008416,0.008416,0.008416
26,188.918,1.53769,1.25905,1.07247,0.53918,0.51607,0.53867,0.28211,1.61476,1.34838,1.05538,0.00835,0.00835,0.00835
27,195.677,1.53655,1.24965,1.06133,0.56537,0.5064,0.54161,0.29889,1.54992,1.38977,1.03611,0.008284,0.008284,0.008284
28,202.416,1.53059,1.24556,1.07063,0.54565,0.54194,0.55573,0.31249,1.52308,1.34159,1.02469,0.008218,0.008218,0.008218
29,209.128,1.51914,1.23087,1.05684,0.51339,0.50843,0.51721,0.28642,1.53566,1.38992,1.02703,0.008152,0.008152,0.008152
30,215.888,1.5211,1.21721,1.05771,0.60188,0.52145,0.57476,0.32085,1.4967,1.33146,1.01678,0.008086,0.008086,0.008086
31,222.617,1.49924,1.20194,1.04728,0.61615,0.53967,0.60558,0.31429,1.6319,1.25601,1.04705,0.00802,0.00802,0.00802
32,229.362,1.53137,1.21734,1.05153,0.58188,0.53916,0.57808,0.30098,1.61332,1.32697,1.06587,0.007954,0.007954,0.007954
33,236.099,1.55331,1.20982,1.0573,0.62467,0.53688,0.5993,0.32652,1.56001,1.24931,1.02055,0.007888,0.007888,0.007888
34,242.828,1.51323,1.16867,1.04782,0.57439,0.53089,0.57384,0.30262,1.58202,1.29021,1.03994,0.007822,0.007822,0.007822
35,249.549,1.48078,1.15172,1.04165,0.62422,0.55877,0.62187,0.35079,1.51436,1.19748,1.02131,0.007756,0.007756,0.007756
36,256.269,1.47066,1.13806,1.04014,0.61502,0.54449,0.60063,0.31939,1.60012,1.26335,1.03763,0.00769,0.00769,0.00769
37,262.967,1.46984,1.12312,1.04576,0.59483,0.52509,0.57387,0.27136,1.80357,1.30411,1.08453,0.007624,0.007624,0.007624
38,269.673,1.46788,1.12069,1.04774,0.64835,0.58471,0.65331,0.35537,1.55802,1.17073,1.04581,0.007558,0.007558,0.007558
39,276.396,1.45355,1.09024,1.03405,0.65504,0.5876,0.64496,0.33988,1.58897,1.17353,1.04621,0.007492,0.007492,0.007492
40,283.118,1.46969,1.10037,1.03435,0.57124,0.5414,0.57312,0.30892,1.59001,1.29954,1.03217,0.007426,0.007426,0.007426
41,289.846,1.44002,1.08098,1.03399,0.61125,0.54106,0.59186,0.33394,1.48839,1.28932,1.01098,0.00736,0.00736,0.00736
42,296.566,1.46218,1.08883,1.03768,0.67787,0.55559,0.6461,0.3592,1.54018,1.17253,1.02322,0.007294,0.007294,0.007294
43,303.281,1.4487,1.06156,1.02946,0.55698,0.52658,0.55521,0.28358,1.65902,1.30287,1.03899,0.007228,0.007228,0.007228
44,310.014,1.44909,1.05641,1.02603,0.65607,0.60649,0.66831,0.38175,1.47043,1.11276,1.00205,0.007162,0.007162,0.007162
45,316.775,1.4533,1.06005,1.03094,0.67857,0.57054,0.66102,0.37957,1.46543,1.12119,1.00481,0.007096,0.007096,0.007096
46,323.504,1.42271,1.03504,1.03152,0.672,0.6077,0.68495,0.39881,1.44574,1.09725,0.99868,0.00703,0.00703,0.00703
47,330.236,1.4266,1.03297,1.02683,0.70042,0.59927,0.68884,0.3951,1.48656,1.07881,1.00263,0.006964,0.006964,0.006964
48,336.945,1.41801,1.01269,1.02524,0.64933,0.56697,0.63853,0.36016,1.47468,1.16107,0.9958,0.006898,0.006898,0.006898
49,343.667,1.42244,1.02545,1.0249,0.69114,0.59394,0.68048,0.39332,1.45387,1.08163,0.99121,0.006832,0.006832,0.006832
50,350.422,1.39434,0.9956,1.01402,0.70242,0.604,0.69599,0.40057,1.45527,1.07282,0.9992,0.006766,0.006766,0.006766
51,357.188,1.39401,0.98286,1.01423,0.71906,0.62219,0.71686,0.42805,1.39318,1.02985,0.98158,0.0067,0.0067,0.0067
52,363.897,1.40469,0.99405,1.02424,0.68521,0.60801,0.69233,0.40405,1.4311,1.05626,0.98399,0.006634,0.006634,0.006634
53,370.598,1.40465,0.97646,1.01611,0.73505,0.6292,0.72679,0.42345,1.43694,1.00831,0.99385,0.006568,0.006568,0.006568
54,377.355,1.40003,0.97275,1.0193,0.70599,0.62608,0.70916,0.40937,1.45698,1.03725,0.99951,0.006502,0.006502,0.006502
55,384.121,1.38676,0.97452,1.01257,0.68597,0.61342,0.68823,0.39939,1.44152,1.07748,0.99674,0.006436,0.006436,0.006436
56,390.875,1.3784,0.9627,1.01383,0.72878,0.62139,0.71384,0.4238,1.4065,1.03862,0.98665,0.00637,0.00637,0.00637
57,397.623,1.37385,0.95693,1.00171,0.72077,0.62963,0.71132,0.38461,1.54827,1.04164,1.00628,0.006304,0.006304,0.006304
58,404.379,1.37548,0.94623,1.01093,0.75037,0.6399,0.73882,0.43555,1.43477,0.98175,0.98787,0.006238,0.006238,0.006238
59,411.151,1.35783,0.9266,1.00107,0.73921,0.63004,0.72577,0.41197,1.48426,1.0069,0.99628,0.006172,0.006172,0.006172
60,417.911,1.40421,0.94563,1.01577,0.74723,0.64531,0.7434,0.45374,1.36292,0.95859,0.97101,0.006106,0.006106,0.006106
61,424.677,1.35671,0.92747,1.0042,0.73956,0.6445,0.73602,0.42633,1.43918,0.98573,0.98835,0.00604,0.00604,0.00604
62,431.438,1.33989,0.91818,0.99736,0.7374,0.63854,0.73064,0.43769,1.37887,0.99406,0.97467,0.005974,0.005974,0.005974
63,438.163,1.35548,0.90827,0.9994,0.72843,0.63031,0.72039,0.40605,1.50447,1.02902,0.99984,0.005908,0.005908,0.005908
64,444.907,1.3518,0.90499,0.99938,0.70505,0.62847,0.70756,0.41121,1.43357,1.0415,0.97982,0.005842,0.005842,0.005842
65,451.647,1.32799,0.88465,0.99816,0.75132,0.66376,0.7494,0.44432,1.4173,0.96508,0.98165,0.005776,0.005776,0.005776
66,458.389,1.33361,0.88661,0.9907,0.76043,0.64527,0.75231,0.44531,1.39883,0.96445,0.97855,0.00571,0.00571,0.00571
67,465.139,1.33259,0.89328,0.9908,0.75827,0.643,0.74718,0.43841,1.40688,0.98553,0.98232,0.005644,0.005644,0.005644
68,471.885,1.33513,0.88512,0.99606,0.72947,0.64905,0.72937,0.40659,1.51243,1.00317,0.9983,0.005578,0.005578,0.005578
69,478.63,1.32386,0.86675,0.9969,0.77172,0.6823,0.77285,0.46786,1.36235,0.90629,0.97289,0.005512,0.005512,0.005512
70,485.391,1.32749,0.87135,0.99197,0.7791,0.67981,0.77823,0.4756,1.34583,0.90508,0.96593,0.005446,0.005446,0.005446
71,492.13,1.32365,0.86473,0.99579,0.79558,0.66661,0.7796,0.46821,1.38065,0.90145,0.97194,0.00538,0.00538,0.00538
72,498.871,1.3384,0.8652,0.99901,0.75059,0.66133,0.75577,0.4553,1.36522,0.9358,0.96595,0.005314,0.005314,0.005314
73,505.623,1.31854,0.85811,0.99445,0.75249,0.66097,0.75454,0.43887,1.42423,0.95514,0.97478,0.005248,0.005248,0.005248
74,512.368,1.31019,0.84825,0.99007,0.76992,0.66384,0.76598,0.45635,1.38538,0.91876,0.97153,0.005182,0.005182,0.005182
75,519.121,1.30825,0.84212,0.99198,0.78969,0.68,0.78451,0.48351,1.32401,0.88592,0.9606,0.005116,0.005116,0.005116
76,525.877,1.28962,0.83202,0.98232,0.77766,0.67152,0.77044,0.47161,1.34163,0.91225,0.96402,0.00505,0.00505,0.00505
77,532.631,1.30881,0.85007,0.97986,0.78202,0.68185,0.77857,0.45979,1.39352,0.90465,0.97149,0.004984,0.004984,0.004984
78,539.378,1.31088,0.83614,0.9794,0.77613,0.68747,0.78848,0.48127,1.33394,0.87942,0.9638,0.004918,0.004918,0.004918
79,546.125,1.27042,0.81999,0.9848,0.78512,0.67543,0.78267,0.47926,1.34155,0.89887,0.96356,0.004852,0.004852,0.004852
80,552.878,1.29219,0.83641,0.97583,0.7966,0.70884,0.8066,0.50025,1.30644,0.83616,0.95639,0.004786,0.004786,0.004786
81,559.633,1.2867,0.81878,0.9762,0.80425,0.6945,0.79527,0.48421,1.33975,0.85988,0.96369,0.00472,0.00472,0.00472
82,566.385,1.28336,0.80968,0.98125,0.81314,0.67756,0.79064,0.4769,1.35788,0.88716,0.96055,0.004654,0.004654,0.004654
83,573.137,1.24742,0.78487,0.97311,0.79761,0.67925,0.78256,0.4567,1.43193,0.88689,0.97339,0.004588,0.004588,0.004588
84,579.882,1.27597,0.80171,0.97065,0.82104,0.69666,0.80911,0.49562,1.33127,0.84217,0.96165,0.004522,0.004522,0.004522
85,586.648,1.25771,0.79279,0.97618,0.7882,0.69469,0.79459,0.49527,1.30659,0.85968,0.95557,0.004456,0.004456,0.004456
86,593.401,1.27277,0.8007,0.97358,0.81497,0.71279,0.82072,0.51098,1.30372,0.81613,0.95191,0.00439,0.00439,0.00439
87,600.173,1.25914,0.79125,0.97524,0.80959,0.70338,0.81582,0.51286,1.28996,0.83012,0.95179,0.004324,0.004324,0.004324
88,606.958,1.2415,0.78109,0.96592,0.8045,0.70791,0.8095,0.49311,1.33752,0.83902,0.96462,0.004258,0.004258,0.004258
89,613.727,1.25189,0.77749,0.96533,0.80888,0.71595,0.81799,0.50137,1.32962,0.82815,0.96002,0.004192,0.004192,0.004192
90,620.491,1.25812,0.77966,0.97063,0.803,0.71664,0.81792,0.49234,1.35948,0.83808,0.97092,0.004126,0.004126,0.004126
91,627.238,1.2369,0.76674,0.96639,0.81887,0.7196,0.8232,0.5139,1.29832,0.8106,0.94979,0.00406,0.00406,0.00406
92,634.005,1.24335,0.76798,0.96266,0.80802,0.72851,0.82163,0.50087,1.33925,0.81551,0.95692,0.003994,0.003994,0.003994
93,640.769,1.24587,0.76809,0.96931,0.83799,0.73082,0.83525,0.52695,1.27635,0.78444,0.9499,0.003928,0.003928,0.003928
